Input,Output,ObservedProb,ExpectedProb
fogun+PL_8,fogunka,0.0,0.7689680759775629
fogun+PL_9,fogunka,0.0,0.7689680759775629
fogun+PL_10,fogunka,0.0,0.7689680759775629
fogun+PL_11,fogunka,0.0,0.7689680759775629
fogun+PL_12,fogunka,0.0,0.7689680759775629
fogun+PL_13,fogunka,0.0,0.7689680759775629
fogun+PL_14,fogunka,0.0,0.7689680759775629
fogun+PL_15,fogunka,0.0,0.7689680759775629
fogun+PL_16,fogunka,0.0,0.7689680759775629
fogun+PL_17,fogunka,0.0,0.7689680759775629
fogun+PL_18,fogunka,0.0,0.7689680759775629
fogun+PL_19,fogunka,0.0,0.7689680759775629
fogun+PL_20,fogunka,0.0,0.7689680759775629
fogun+PL_21,fogunka,0.0,0.7689680759775629
fogun+PL_22,fogunka,0.0,0.7689680759775629
fogun+PL_23,fogunka,0.0,0.7689680759775629
fogun+PL_24,fogunka,0.0,0.7689680759775629
fogun+PL_25,fogunka,0.0,0.7689680759775629
fogun+PL_26,fogunka,0.0,0.7689680759775629
fogun+PL_27,fogunka,0.0,0.7689680759775629
fogun+PL_28,fogunka,0.0,0.7689680759775629
fogun+PL_29,fogunka,0.0,0.7689680759775629
fogun+PL_30,fogunka,0.0,0.7689680759775629
fogun+PL_31,fogunka,0.0,0.7689680759775629
fogun+PL_32,fogunka,0.0,0.7689680759775629
fogun+PL_33,fogunka,0.0,0.7689680759775629
fogun+PL_34,fogunka,0.0,0.7689680759775629
fogun+PL_35,fogunka,0.0,0.7689680759775629
fogun+PL_36,fogunka,0.0,0.7689680759775629
fogun+PL_37,fogunka,0.0,0.7689680759775629
fogun+PL_38,fogunka,0.0,0.7689680759775629
fogun+PL_39,fogunka,0.0,0.7689680759775629
ninet+PL_0,ninetka,1.0,0.7689680759775629
ninet+PL_1,ninetka,1.0,0.7689680759775629
ninet+PL_2,ninetka,1.0,0.7689680759775629
ninet+PL_3,ninetka,1.0,0.7689680759775629
ninet+PL_4,ninetka,1.0,0.7689680759775629
ninet+PL_5,ninetka,1.0,0.7689680759775629
ninet+PL_6,ninetka,1.0,0.7689680759775629
ninet+PL_0,ninetson,0.0,0.23103192402243714
ninet+PL_1,ninetson,0.0,0.23103192402243714
ninet+PL_2,ninetson,0.0,0.23103192402243714
ninet+PL_3,ninetson,0.0,0.23103192402243714
ninet+PL_4,ninetson,0.0,0.23103192402243714
ninet+PL_5,ninetson,0.0,0.23103192402243714
ninet+PL_6,ninetson,0.0,0.23103192402243714
tozim+PL_0,tozimson,0.0,0.23103192402243714
tozim+PL_1,tozimson,0.0,0.23103192402243714
tozim+PL_2,tozimson,0.0,0.23103192402243714
tozim+PL_3,tozimson,0.0,0.23103192402243714
tozim+PL_4,tozimson,0.0,0.23103192402243714
tozim+PL_5,tozimson,0.0,0.23103192402243714
tozim+PL_6,tozimson,0.0,0.23103192402243714
tozim+PL_7,tozimson,0.0,0.23103192402243714
tozim+PL_8,tozimson,0.0,0.23103192402243714
tozim+PL_9,tozimson,0.0,0.23103192402243714
tozim+PL_10,tozimson,0.0,0.23103192402243714
tozim+PL_11,tozimson,0.0,0.23103192402243714
tozim+PL_12,tozimson,0.0,0.23103192402243714
tozim+PL_13,tozimson,0.0,0.23103192402243714
tozim+PL_14,tozimson,0.0,0.23103192402243714
tozim+PL_15,tozimson,0.0,0.23103192402243714
tozim+PL_16,tozimson,0.0,0.23103192402243714
tozim+PL_17,tozimson,0.0,0.23103192402243714
tozim+PL_18,tozimson,0.0,0.23103192402243714
tozim+PL_19,tozimson,0.0,0.23103192402243714
tozim+PL_20,tozimson,0.0,0.23103192402243714
tozim+PL_21,tozimson,0.0,0.23103192402243714
tozim+PL_22,tozimson,0.0,0.23103192402243714
tozim+PL_23,tozimson,0.0,0.23103192402243714
tozim+PL_24,tozimson,0.0,0.23103192402243714
tozim+PL_25,tozimson,0.0,0.23103192402243714
tozim+PL_0,tozimka,1.0,0.7689680759775629
tozim+PL_1,tozimka,1.0,0.7689680759775629
tozim+PL_2,tozimka,1.0,0.7689680759775629
tozim+PL_3,tozimka,1.0,0.7689680759775629
tozim+PL_4,tozimka,1.0,0.7689680759775629
tozim+PL_5,tozimka,1.0,0.7689680759775629
tozim+PL_6,tozimka,1.0,0.7689680759775629
tozim+PL_7,tozimka,1.0,0.7689680759775629
tozim+PL_8,tozimka,1.0,0.7689680759775629
tozim+PL_9,tozimka,1.0,0.7689680759775629
tozim+PL_10,tozimka,1.0,0.7689680759775629
tozim+PL_11,tozimka,1.0,0.7689680759775629
tozim+PL_12,tozimka,1.0,0.7689680759775629
tozim+PL_13,tozimka,1.0,0.7689680759775629
tozim+PL_14,tozimka,1.0,0.7689680759775629
tozim+PL_15,tozimka,1.0,0.7689680759775629
tozim+PL_16,tozimka,1.0,0.7689680759775629
tozim+PL_17,tozimka,1.0,0.7689680759775629
tozim+PL_18,tozimka,1.0,0.7689680759775629
tozim+PL_19,tozimka,1.0,0.7689680759775629
tozim+PL_20,tozimka,1.0,0.7689680759775629
tozim+PL_21,tozimka,1.0,0.7689680759775629
tozim+PL_22,tozimka,1.0,0.7689680759775629
tozim+PL_23,tozimka,1.0,0.7689680759775629
tozim+PL_24,tozimka,1.0,0.7689680759775629
tozim+PL_25,tozimka,1.0,0.7689680759775629
ribef+PL_0,ribefka,0.0,0.7689680759775629
ribef+PL_1,ribefka,0.0,0.7689680759775629
ribef+PL_2,ribefka,0.0,0.7689680759775629
ribef+PL_3,ribefka,0.0,0.7689680759775629
ribef+PL_4,ribefka,0.0,0.7689680759775629
ribef+PL_5,ribefka,0.0,0.7689680759775629
