Input,Output,Epoch,ObservedProb,ExpectedProb
zobek+PL_10,zobekson,1,0.0,0.5
zobek+PL_11,zobekson,1,0.0,0.5
zobek+PL_12,zobekson,1,0.0,0.5
zobek+PL_13,zobekson,1,0.0,0.5
zobek+PL_14,zobekson,1,0.0,0.5
zobek+PL_15,zobekson,1,0.0,0.5
zobek+PL_16,zobekson,1,0.0,0.5
zobek+PL_17,zobekson,1,0.0,0.5
zobek+PL_18,zobekson,1,0.0,0.5
zobek+PL_19,zobekson,1,0.0,0.5
zobek+PL_0,zobekka,1,1.0,0.5
zobek+PL_1,zobekka,1,1.0,0.5
zobek+PL_2,zobekka,1,1.0,0.5
zobek+PL_3,zobekka,1,1.0,0.5
zobek+PL_4,zobekka,1,1.0,0.5
zobek+PL_5,zobekka,1,1.0,0.5
zobek+PL_6,zobekka,1,1.0,0.5
zobek+PL_7,zobekka,1,1.0,0.5
zobek+PL_8,zobekka,1,1.0,0.5
zobek+PL_9,zobekka,1,1.0,0.5
zobek+PL_10,zobekka,1,1.0,0.5
zobek+PL_11,zobekka,1,1.0,0.5
zobek+PL_12,zobekka,1,1.0,0.5
zobek+PL_13,zobekka,1,1.0,0.5
zobek+PL_14,zobekka,1,1.0,0.5
zobek+PL_15,zobekka,1,1.0,0.5
zobek+PL_16,zobekka,1,1.0,0.5
zobek+PL_17,zobekka,1,1.0,0.5
zobek+PL_18,zobekka,1,1.0,0.5
zobek+PL_19,zobekka,1,1.0,0.5
fabem+PL_0,fabemson,1,0.0,0.5
fabem+PL_1,fabemson,1,0.0,0.5
fabem+PL_2,fabemson,1,0.0,0.5
fabem+PL_3,fabemson,1,0.0,0.5
fabem+PL_4,fabemson,1,0.0,0.5
fabem+PL_5,fabemson,1,0.0,0.5
fabem+PL_6,fabemson,1,0.0,0.5
fabem+PL_7,fabemson,1,0.0,0.5
fabem+PL_8,fabemson,1,0.0,0.5
fabem+PL_9,fabemson,1,0.0,0.5
fabem+PL_10,fabemson,1,0.0,0.5
fabem+PL_11,fabemson,1,0.0,0.5
fabem+PL_12,fabemson,1,0.0,0.5
fabem+PL_13,fabemson,1,0.0,0.5
fabem+PL_14,fabemson,1,0.0,0.5
fabem+PL_15,fabemson,1,0.0,0.5
fabem+PL_0,fabemka,1,1.0,0.5
fabem+PL_1,fabemka,1,1.0,0.5
fabem+PL_2,fabemka,1,1.0,0.5
fabem+PL_3,fabemka,1,1.0,0.5
fabem+PL_4,fabemka,1,1.0,0.5
fabem+PL_5,fabemka,1,1.0,0.5
fabem+PL_6,fabemka,1,1.0,0.5
fabem+PL_7,fabemka,1,1.0,0.5
fabem+PL_8,fabemka,1,1.0,0.5
fabem+PL_9,fabemka,1,1.0,0.5
fabem+PL_10,fabemka,1,1.0,0.5
fabem+PL_11,fabemka,1,1.0,0.5
fabem+PL_12,fabemka,1,1.0,0.5
fabem+PL_13,fabemka,1,1.0,0.5
fabem+PL_14,fabemka,1,1.0,0.5
fabem+PL_15,fabemka,1,1.0,0.5
remoz+PL_0,remozka,1,1.0,0.5
remoz+PL_1,remozka,1,1.0,0.5
remoz+PL_2,remozka,1,1.0,0.5
remoz+PL_3,remozka,1,1.0,0.5
remoz+PL_4,remozka,1,1.0,0.5
remoz+PL_0,remozson,1,0.0,0.5
remoz+PL_1,remozson,1,0.0,0.5
remoz+PL_2,remozson,1,0.0,0.5
remoz+PL_3,remozson,1,0.0,0.5
remoz+PL_4,remozson,1,0.0,0.5
zasif+PL_0,zasifka,1,1.0,0.5
zasif+PL_1,zasifka,1,1.0,0.5
zasif+PL_2,zasifka,1,1.0,0.5
zasif+PL_3,zasifka,1,1.0,0.5
zasif+PL_4,zasifka,1,1.0,0.5
zasif+PL_0,zasifson,1,0.0,0.5
zasif+PL_1,zasifson,1,0.0,0.5
zasif+PL_2,zasifson,1,0.0,0.5
zasif+PL_3,zasifson,1,0.0,0.5
zasif+PL_4,zasifson,1,0.0,0.5
nerun+PL_0,nerunka,1,0.0,0.5
nerun+PL_1,nerunka,1,0.0,0.5
nerun+PL_2,nerunka,1,0.0,0.5
nerun+PL_3,nerunka,1,0.0,0.5
nerun+PL_0,nerunson,1,1.0,0.5
nerun+PL_1,nerunson,1,1.0,0.5
nerun+PL_2,nerunson,1,1.0,0.5
nerun+PL_3,nerunson,1,1.0,0.5
ladof+PL_0,ladofka,1,1.0,0.5
ladof+PL_1,ladofka,1,1.0,0.5
ladof+PL_2,ladofka,1,1.0,0.5
ladof+PL_3,ladofka,1,1.0,0.5
ladof+PL_0,ladofson,1,0.0,0.5
ladof+PL_1,ladofson,1,0.0,0.5
ladof+PL_2,ladofson,1,0.0,0.5
ladof+PL_3,ladofson,1,0.0,0.5
monig+PL_0,monigka,1,1.0,0.5
monig+PL_1,monigka,1,1.0,0.5
monig+PL_2,monigka,1,1.0,0.5
monig+PL_3,monigka,1,1.0,0.5
monig+PL_0,monigson,1,0.0,0.5
monig+PL_1,monigson,1,0.0,0.5
monig+PL_2,monigson,1,0.0,0.5
monig+PL_3,monigson,1,0.0,0.5
zasum+PL_0,zasumka,1,1.0,0.5
zasum+PL_1,zasumka,1,1.0,0.5
zasum+PL_2,zasumka,1,1.0,0.5
zasum+PL_3,zasumka,1,1.0,0.5
zasum+PL_0,zasumson,1,0.0,0.5
zasum+PL_1,zasumson,1,0.0,0.5
zasum+PL_2,zasumson,1,0.0,0.5
zasum+PL_3,zasumson,1,0.0,0.5
kekeg+PL_0,kekegka,1,1.0,0.5
kekeg+PL_1,kekegka,1,1.0,0.5
kekeg+PL_2,kekegka,1,1.0,0.5
kekeg+PL_3,kekegka,1,1.0,0.5
kekeg+PL_0,kekegson,1,0.0,0.5
kekeg+PL_1,kekegson,1,0.0,0.5
kekeg+PL_2,kekegson,1,0.0,0.5
kekeg+PL_3,kekegson,1,0.0,0.5
fadun+PL_0,fadunka,1,1.0,0.5
fadun+PL_1,fadunka,1,1.0,0.5
fadun+PL_2,fadunka,1,1.0,0.5
fadun+PL_0,fadunson,1,0.0,0.5
fadun+PL_1,fadunson,1,0.0,0.5
fadun+PL_2,fadunson,1,0.0,0.5
gober+PL_0,goberka,1,1.0,0.5
gober+PL_1,goberka,1,1.0,0.5
gober+PL_2,goberka,1,1.0,0.5
gober+PL_0,goberson,1,0.0,0.5
gober+PL_1,goberson,1,0.0,0.5
gober+PL_2,goberson,1,0.0,0.5
bikuk+PL_0,bikukson,1,1.0,0.5
bikuk+PL_1,bikukson,1,1.0,0.5
bikuk+PL_2,bikukson,1,1.0,0.5
bikuk+PL_3,bikukson,1,1.0,0.5
bikuk+PL_4,bikukson,1,1.0,0.5
bikuk+PL_5,bikukson,1,1.0,0.5
bikuk+PL_6,bikukson,1,1.0,0.5
bikuk+PL_7,bikukson,1,1.0,0.5
bikuk+PL_8,bikukson,1,1.0,0.5
bikuk+PL_9,bikukson,1,1.0,0.5
bikuk+PL_10,bikukson,1,1.0,0.5
bikuk+PL_11,bikukson,1,1.0,0.5
bikuk+PL_12,bikukson,1,1.0,0.5
bikuk+PL_0,bikukka,1,0.0,0.5
bikuk+PL_1,bikukka,1,0.0,0.5
